,Cases
746,1057645
747,1057703
748,1057846
749,1057854
750,1057881
751,1057890
752,1057927
753,1058043
754,1058082
755,1058142
756,1058233
757,1058344
758,1058361
759,1058419
760,1058490
761,1058513
762,1058552
763,1058567
764,1058629
765,1058664
766,1058698
767,1058857
768,1058862
769,1059019
770,1059112
771,1059198
772,1059248
773,1059269
774,1059291
775,1059396
776,1059415
777,1059443
778,1059584
779,1059638
780,1059734
781,1060048
782,1060069
783,1060087
784,1060114
785,1060171
786,1060305
787,1060402
788,1060473
789,1060523
790,1060707
791,1060845
792,1060939
793,1061022
794,1061081
795,1061170
796,1061323
797,1061331
798,1061443
799,1061568
800,1061745
801,1061776
802,1061780
803,1061799
804,1061832
805,1061906
806,1061959
807,1061965
808,1062053
809,1062098
810,1062146
811,1062178
812,1062303
813,1062355
814,1062369
815,1062387
816,1062706
817,1062733
818,1062821
819,1062967
820,1062976
821,1063000
822,1063044
823,1063195
824,1063245
825,1063280
826,1063441
827,1063742
828,1063783
829,1063891
830,1063904
831,1063996
832,1064311
833,1064374
834,1064397
835,1064401
836,1064480
837,1064640
838,1064816
839,1064827
840,1064849
841,1064884
842,1064963
843,1064981
844,1065021
845,1065082
846,1065259
847,1065288
848,1065326
849,1065344
850,1065361
851,1065393
852,1065463
853,1065534
854,1065670
855,1065862
856,1065948
857,1066027
858,1066049
859,1066068
860,1066215
861,1066334
862,1066436
863,1066455
864,1066507
865,1066659
866,1066864
867,1066925
868,1066956
869,1067052
870,1067123
871,1067384
872,1067395
873,1067465
874,1067492
875,1067521
876,1067700
877,1067717
878,1067726
879,1067732
880,1067744
881,1067789
882,1068079
883,1068128
884,1068284
885,1068460
886,1068555
887,1068666
888,1068737
889,1068764
890,1068958
891,1068961
892,1068989
893,1069009
894,1069060
895,1069108
896,1069289
897,1069365
898,1069601
899,1069968
900,1070004
901,1070085
902,1070113
903,1070295
904,1070335
905,1070442
906,1070548
907,1070569
908,1070615
909,1070705
910,1070741
911,1070859
912,1070865
913,1070944
914,1070961
915,1070993
916,1071107
917,1071163
918,1071204
919,1071240
920,1071296
921,1071303
922,1071391
923,1071542
924,1071602
925,1071616
926,1071668
927,1071788
928,1071866
929,1071882
930,1071901
931,1072054
932,1072137
933,1072287
934,1072357
935,1072415
936,1072466
937,1072609
938,1072660
939,1072674
940,1072697
941,1072858
942,1072875
943,1073008
944,1073015
945,1073021
946,1073050
947,1073066
948,1073174
949,1073197
950,1073288
951,1073361
952,1073422
953,1073478
954,1073552
955,1073605
956,1073702
957,1073727
958,1073885
959,1073924
960,1073972
961,1074013
962,1074028
963,1074045
964,1074207
965,1074222
966,1074263
967,1074290
968,1074327
969,1074368
970,1074384
971,1074577
972,1074648
973,1074744
974,1074811
975,1074860
976,1075044
977,1075061
978,1075228
979,1075234
980,1075252
981,1075280
982,1075315
983,1075366
984,1075412
985,1075437
986,1075498
987,1075506
988,1075619
989,1075711
990,1075810
991,1075891
992,1075996
993,1076038
994,1076074
995,1076083
996,1076143
997,1076217
998,1076226
999,1076314
1000,1076333
1001,1076392
1002,1076423
1003,1076586
1004,1076601
1005,1076628
1006,1076645
1007,1076652
1008,1076667
1009,1076680
1010,1076835
1011,1076930
1012,1076968
1013,1076995
1014,1077155
1015,1077338
1016,1077413
1017,1077452
1018,1077476
1019,1077480
1020,1077499
1021,1077500
1022,1077623
1023,1077777
1024,1077794
1025,1077802
1026,1077851
1027,1078003
1028,1078024
1029,1078192
1030,1078260
1031,1078402
1032,1078468
1033,1078473
1034,1078579
1035,1078735
1036,1078746
1037,1078763
1038,1078950
1039,1079016
1040,1079049
1041,1079084
1042,1079221
1043,1079250
1044,1079294
1045,1079352
1046,1079367
1047,1079403
1048,1079606
1049,1079688
1050,1079812
1051,1079841
1052,1079853
1053,1079960
1054,1080050
1055,1080156
1056,1080422
1057,1080513
1058,1080730
1059,1080955
1060,1081243
1061,1081328
1062,1081352
1063,1081424
1064,1081563
1065,1081620
1066,1081647
1067,1081779
1068,1081796
1069,1081812
1070,1081837
1071,1082061
1072,1082130
1073,1082149
1074,1082234
1075,1082280
1076,1082350
1077,1082429
1078,1082559
1079,1082592
1080,1082607
1081,1082635
1082,1082887
1083,1083012
1084,1083135
1085,1083231
1086,1083257
1087,1083296
1088,1083372
1089,1083574
1090,1083630
1091,1083695
1092,1083788
1093,1083808
1094,1083850
1095,1083999
1096,1084143
1097,1084182
1098,1084200
1099,1084258
1100,1084320
1101,1084485
1102,1084505
1103,1084601
1104,1084634
1105,1084667
1106,1084772
1107,1084819
1108,1085010
1109,1085114
1110,1085337
1111,1085416
1112,1085427
1113,1085449
1114,1085557
1115,1085707
1116,1085746
1117,1085778
1118,1085813
1119,1085915
1120,1086078
1121,1086210
1122,1086255
1123,1086323
1124,1086340
1125,1086421
1126,1086466
1127,1086674
1128,1086752
1129,1086832
1130,1086893
1131,1086959
1132,1087096
1133,1087249
1134,1087615
1135,1087677
1136,1087806
1137,1087820
1138,1087958
1139,1087975
1140,1088052
1141,1088099
1142,1088246
1143,1088278
1144,1088488
1145,1088543
1146,1088550
1147,1088986
1148,1089397
1149,1089696
1150,1089816
1151,1089981
1152,1090005
1153,1090029
1154,1090070
1155,1090122
1156,1090181
1157,1090240
1158,1090257
1159,1090296
1160,1090444
1161,1090458
1162,1090542
1163,1090627
1164,1090720
1165,1090877
1166,1090934
1167,1090952
1168,1090976
1169,1091006
1170,1091059
1171,1091148
1172,1091172
1173,1091187
1174,1091191
1175,1091270
1176,1091338
1177,1091342
1178,1091467
1179,1091476
1180,1091526
1181,1091561
1182,1091623
1183,1091708
1184,1091721
1185,1091777
1186,1091963
1187,1092048
1188,1092106
1189,1092192
1190,1092242
1191,1092312
1192,1092402
1193,1092518
1194,1092523
1195,1092600
1196,1092617
1197,1092661
1198,1092754
1199,1092834
1200,1092867
1201,1093132
1202,1093208
1203,1093243
1204,1093469
1205,1093731
1206,1093740
1207,1093757
1208,1093805
1209,1093909
1210,1093956
1211,1093960
1212,1094019
1213,1094105
1214,1094269
1215,1094287
1216,1094318
1217,1094713
1218,1094752
1219,1094861
1220,1094893
1221,1094959
1222,1095001
1223,1095196
1224,1095207
1225,1095235
1226,1095263
1227,1095290
1228,1095373
1229,1095420
1230,1095577
1231,1095603
1232,1095672
1233,1095717
1234,1095842
1235,1095874
1236,1096000
1237,1096017
1238,1096044
1239,1096093
1240,1096267
1241,1096299
1242,1096350
1243,1096382
1244,1096394
1245,1096470
1246,1096592
1247,1096646
1248,1096709
1249,1096904
1250,1096962
1251,1096996
1252,1097039
1253,1097109
1254,1097111
1255,1097142
1256,1097156
1257,1097214
1258,1097288
1259,1097326
1260,1097332
1261,1097407
1262,1097422
1263,1097534
1264,1097552
1265,1097567
1266,1097716
1267,1097751
1268,1097991
1269,1098261
1270,1098371
1271,1098496
1272,1098505
1273,1098570
1274,1098586
1275,1098652
1276,1098703
1277,1098755
1278,1098927
1279,1099062
1280,1099216
1281,1099227
1282,1099591
1283,1099643
1284,1099650
1285,1099694
1286,1099729
1287,1099900
1288,1100015
1289,1100066
1290,1100109
1291,1100125
1292,1100233
1293,1100478
1294,1100501
1295,1100576
1296,1100664
1297,1100948
1298,1100987
1299,1101126
1300,1101294
1301,1101334
1302,1101380
1303,1101410
1304,1101436
1305,1101455
1306,1101740
1307,1101757
1308,1101925
1309,1102000
1310,1102168
1311,1102299
1312,1102464
1313,1102486
1314,1102607
1315,1102678
1316,1103257
1317,1103285
1318,1103400
1319,1103509
1320,1103556
1321,1103668
1322,1103684
1323,1103901
1324,1104025
1325,1104108
1326,1104143
1327,1104232
1328,1104258
1329,1104275
1330,1104371
1331,1104388
1332,1104418
1333,1104440
1334,1104634
1335,1104748
1336,1104755
1337,1104807
1338,1104819
1339,1104878
1340,1104949
1341,1104984
1342,1105188
1343,1105192
1344,1105211
1345,1105242
1346,1105274
1347,1105370
1348,1105468
1349,1105495
1350,1105579
1351,1105908
1352,1105915
1353,1105921
1354,1105966
1355,1106129
1356,1106318
1357,1106674
1358,1106776
1359,1106861
1360,1106988
1361,1107230
1362,1107273
1363,1107307
1364,1107346
1365,1107378
1366,1107409
1367,1107425
1368,1107548
1369,1107591
1370,1107682
1371,1107712
1372,1107770
1373,1107798
1374,1107820
1375,1107859
1376,1107900
1377,1108076
1378,1108235
1379,1108349
1380,1108406
1381,1108508
1382,1108521
1383,1108543
1384,1108669
1385,1108687
1386,1108717
1387,1108732
1388,1108775
1389,1108789
1390,1108874
1391,1108953
1392,1108964
1393,1108986
1394,1108998
1395,1109136
1396,1109172
1397,1109191
1398,1109286
1399,1109325
1400,1109401
1401,1109480
1402,1109500
1403,1109593
1404,1109604
1405,1109849
1406,1109851
1407,1109895
1408,1110004
1409,1110031
1410,1110227
1411,1110381
1412,1110536
1413,1110639
1414,1110932
1415,1110989
1416,1111098
1417,1111181
1418,1111240
1419,1111262
1420,1111279
1421,1111387
1422,1111400
1423,1111493
1424,1111574
1425,1111706
1426,1111733
1427,1111771
1428,1111788
1429,1111808
1430,1111815
1431,1111877
1432,1111882
1433,1112019
1434,1112105
1435,1112248
1436,1112269
1437,1112323
1438,1112379
1439,1112385
1440,1112396
1441,1113138
1442,1113183
1443,1113220
1444,1113233
1445,1113265
1446,1113271
1447,1113326
1448,1113332
1449,1113454
1450,1113528
1451,1113545
1452,1113637
1453,1113686
1454,1113716
1455,1113749
1456,1113879
1457,1113896
1458,1113991
1459,1114118
1460,1114157
1461,1114278
1462,1114488
1463,1114515
1464,1114566
1465,1114582
1466,1114594
1467,1114624
1468,1114672
1469,1114775
1470,1114874
1471,1114912
1472,1115089
1473,1115168
1474,1115299
1475,1115394
1476,1115547
1477,1115565
1478,1115663
1479,1115725
1480,1115783
1481,1116011
1482,1116038
1483,1116042
1484,1116150
1485,1116217
1486,1116418
1487,1116496
1488,1116529
1489,1116613
1490,1116710
1491,1116819
1492,1116890
1493,1117148
1494,1117241
1495,1117374
1496,1117383
1497,1117657
1498,1117685
1499,1117777
1500,1117851
1501,1117884
1502,1117954
1503,1117990
1504,1118091
1505,1118106
1506,1118133
1507,1118147
1508,1118225
1509,1118274
1510,1118353
1511,1118540
1512,1118658
1513,1118689
1514,1118754
1515,1118778
1516,1118852
1517,1118915
1518,1119095
1519,1119239
1520,1119266
1521,1119294
1522,1119313
1523,1119334
1524,1119352
1525,1119376
1526,1119399
1527,1119507
1528,1119519
1529,1119581
1530,1119590
1531,1119740
1532,1119942
1533,1119960
1534,1119997
1535,1120185
1536,1120263
1537,1120508
1538,1120521
1539,1120550
1540,1120687
1541,1120912
1542,1120929
1543,1120941
1544,1120998
1545,1121061
1546,1121234
1547,1121276
1548,1121339
1549,1121470
1550,1121506
1551,1121520
1552,1121622
1553,1121646
1554,1121904
1555,1121918
1556,1121931
1557,1121940
1558,1121957
1559,1122294
1560,1122376
1561,1122424
1562,1122590
1563,1122620
1564,1122659
1565,1122841
1566,1122925
1567,1123069
1568,1123159
1569,1123209
1570,1123225
1571,1123238
1572,1123283
1573,1123305
1574,1123416
1575,1123495
1576,1123735
1577,1123845
1578,1123880
1579,1123977
1580,1124018
1581,1124031
1582,1124145
1583,1124322
1584,1124483
1585,1124510
1586,1124548
1587,1124666
1588,1124677
1589,1124764
1590,1124770
1591,1124806
1592,1124900
1593,1125053
1594,1125070
1595,1125122
1596,1125400
1597,1125426
1598,1125511
1599,1125627
1600,1125651
1601,1125733
1602,1125866
1603,1125901
1604,1126136
1605,1126205
1606,1126212
1607,1126298
1608,1126309
1609,1126476
1610,1126499
1611,1126500
1612,1126532
1613,1126575
1614,1126721
1615,1126743
1616,1126849
1617,1126868
1618,1126873
1619,1127009
1620,1127038
1621,1127139
1622,1127258
1623,1127261
1624,1127289
1625,1127359
1626,1127553
1627,1127703
1628,1127769
1629,1127822
1630,1127846
1631,1127916
1632,1127951
1633,1127968
1634,1127973
1635,1127984
1636,1128015
1637,1128077
1638,1128214
1639,1128233
1640,1128389
1641,1128534
1642,1128664
1643,1128698
1644,1128716
1645,1128823
1646,1128903
1647,1128936
1648,1129019
1649,1129105
1650,1129129
1651,1129153
1652,1129198
1653,1129443
1654,1129477
1655,1129734
1656,1129776
1657,1129965
1658,1130353
1659,1130398
1660,1130449
1661,1130531
1662,1130632
1663,1130675
1664,1130722
1665,1130746
1666,1130790
1667,1130915
1668,1131007
1669,1131035
1670,1131078
1671,1131186
1672,1131396
1673,1131549
1674,1131568
1675,1131595
1676,1131683
1677,1131734
1678,1131799
1679,1131832
1680,1131858
1681,1131933
1682,1132005
1683,1132041
1684,1132098
1685,1132204
1686,1132310
1687,1132369
1688,1132426
1689,1132461
1690,1132525
1691,1132771
1692,1132839
1693,1132952
1694,1132967
1695,1133184
1696,1133308
1697,1133486
1698,1133622
1699,1133635
1700,1133681
1701,1133709
1702,1133725
1703,1133760
1704,1133803
1705,1133962
1706,1134006
1707,1134020
1708,1134205
1709,1134241
1710,1134264
1711,1134445
1712,1134452
1713,1134499
1714,1134517
1715,1134696
1716,1134708
1717,1134743
1718,1134794
1719,1134802
1720,1134849
1721,1134990
1722,1135015
1723,1135094
1724,1135156
1725,1135375
1726,1135389
1727,1135407
1728,1135599
1729,1135831
1730,1135910
1731,1136016
1732,1136095
1733,1136100
1734,1136144
1735,1136161
1736,1136189
1737,1136208
1738,1136294
1739,1136455
1740,1136554
1741,1136659
1742,1136665
1743,1136779
1744,1136841
1745,1136853
1746,1136997
1747,1137123
1748,1137196
1749,1137349
1750,1137351
1751,1137420
1752,1137433
1753,1137459
1754,1137515
1755,1137603
1756,1137758
1757,1137811
1758,1137825
1759,1137970
1760,1138023
1761,1138134
1762,1138268
1763,1138354
1764,1138363
1765,1138381
1766,1138438
1767,1138474
1768,1138483
1769,1138737
1770,1138820
1771,1138847
1772,1138888
1773,1138926
1774,1138989
1775,1138993
1776,1139011
1777,1139074
1778,1139143
1779,1139194
1780,1139226
1781,1139232
1782,1139261
1783,1139359
1784,1139423
1785,1139462
1786,1139479
1787,1139505
1788,1139822
1789,1139951
1790,1140053
1791,1140107
1792,1140178
1793,1140218
1794,1140262
1795,1140279
1796,1140324
1797,1140489
1798,1140602
1799,1140673
1800,1140706
1801,1140901
1802,1140952
1803,1141006
1804,1141033
1805,1141071
1806,1141092
1807,1141169
1808,1141374
1809,1141476
1810,1141532
1811,1141589
1812,1141657
1813,1141739
1814,1141830
1815,1141907
1816,1142010
1817,1142106
1818,1142209
1819,1142211
1820,1142297
1821,1142305
1822,1142329
1823,1142449
1824,1142473
1825,1142484
1826,1142504
1827,1142579
1828,1142585
1829,1142801
1830,1142867
1831,1142921
1832,1143049
1833,1143095
1834,1143126
1835,1143294
1836,1143313
1837,1143376
1838,1143448
1839,1143469
1840,1143522
1841,1143563
1842,1143606
1843,1143665
1844,1143723
1845,1143757
1846,1143853
1847,1143864
1848,1143956
1849,1144022
1850,1144063
1851,1144112
1852,1144287
1853,1144323
1854,1144443
1855,1144466
1856,1144516
1857,1144530
1858,1144625
1859,1144660
1860,1144683
1861,1144728
1862,1144776
1863,1144826
1864,1145013
1865,1145157
1866,1145207
1867,1145278
1868,1145290
1869,1145406
1870,1145465
1871,1145577
1872,1145594
1873,1145648
1874,1145655
1875,1145761
1876,1145825
1877,1145937
1878,1145986
1879,1146026
1880,1146032
1881,1146102
1882,1146151
1883,1146195
1884,1146350
1885,1146453
1886,1146470
1887,1146520
1888,1146565
1889,1146588
1890,1146607
1891,1146940
1892,1146957
1893,1146962
1894,1147008
1895,1147015
1896,1147156
1897,1147288
1898,1147344
1899,1147389
1900,1147567
1901,1147664
1902,1147751
1903,1147795
1904,1147936
1905,1147955
1906,1148056
1907,1148121
1908,1148150
1909,1148182
1910,1148275
1911,1148431
1912,1148457
1913,1148537
1914,1148553
1915,1148598
1916,1148628
1917,1148634
1918,1148645
1919,1148676
1920,1148835
1921,1148890
1922,1148949
1923,1148951
1924,1148973
1925,1148984
1926,1149128
1927,1149363
1928,1149548
1929,1149572
1930,1149737
1931,1149786
1932,1149865
1933,1149993
1934,1150016
1935,1150144
1936,1150208
1937,1150266
1938,1150277
1939,1150294
1940,1150352
1941,1150403
1942,1150410
1943,1150546
1944,1150659
1945,1150704
1946,1150812
1947,1150911
1948,1150925
1949,1150983
1950,1151031
1951,1151079
1952,1151216
1953,1151230
1954,1151249
1955,1151460
1956,1151483
1957,1151497
1958,1151572
1959,1151608
1960,1151677
1961,1151871
1962,1151892
1963,1151926
1964,1152123
1965,1152131
1966,1152157
1967,1152246
1968,1152281
1969,1152316
1970,1152349
1971,1152471
1972,1152508
1973,1152550
1974,1152687
1975,1152809
1976,1152838
1977,1153014
1978,1153020
1979,1153136
1980,1153169
1981,1153172
1982,1153264
1983,1153338
1984,1153383
1985,1153544
1986,1153593
1987,1153640
1988,1153794
1989,1153868
1990,1154000
1991,1154032
1992,1154093
1993,1154149
1994,1154245
1995,1154315
1996,1154343
1997,1154547
1998,1154663
1999,1154783
2000,1154803
2001,1154824
2002,1154962
2003,1155011
2004,1155060
2005,1155108
2006,1155150
2007,1155226
2008,1155244
2009,1155289
2010,1155835
2011,1155846
2012,1156209
2013,1156242
2014,1156353
2015,1156427
2016,1156449
2017,1156658
2018,1156722
2019,1156801
2020,1156921
2021,1156950
2022,1157041
2023,1157070
2024,1157163
2025,1157204
2026,1157279
2027,1157348
2028,1157426
2029,1157444
2030,1157458
2031,1157461
2032,1157493
2033,1157706
2034,1157747
2035,1157759
2036,1157866
2037,1158007
2038,1158164
2039,1158210
2040,1158379
2041,1158443
2042,1158527
2043,1158568
2044,1158584
2045,1158674
2046,1158728
2047,1158767
2048,1158780
2049,1159008
2050,1159082
2051,1159259
2052,1159419
2053,1159534
2054,1159686
2055,1159773
2056,1159804
2057,1159823
2058,1159896
2059,1159955
2060,1159987
2061,1159991
2062,1160047
2063,1160088
2064,1160136
2065,1160169
2066,1160241
2067,1160356
2068,1160561
2069,1160593
2070,1160922
2071,1160963
2072,1161050
2073,1161111
2074,1161138
2075,1161156
2076,1161419
2077,1161567
2078,1161599
2079,1161612
2080,1161698
2081,1161749
2082,1161768
2083,1162011
2084,1162194
2085,1162217
2086,1162306
2087,1162359
2088,1162724
2089,1162748
2090,1162769
2091,1162791
2092,1162881
2093,1162927
2094,1162995
2095,1163023
2096,1163031
2097,1163101
2098,1163249
2099,1163251
2100,1163268
2101,1163273
2102,1163319
2103,1163425
2104,1163497
2105,1163503
2106,1163591
2107,1163682
2108,1163737
2109,1163770
2110,1163786
2111,1163820
2112,1164087
2113,1164106
2114,1164192
2115,1164225
2116,1164242
2117,1164297
2118,1164398
2119,1164402
2120,1164484
2121,1164585
2122,1164661
2123,1164719
2124,1164722
2125,1164746
2126,1164813
2127,1164867
2128,1164950
2129,1164977
2130,1165007
2131,1165164
2132,1165224
2133,1165287
2134,1165318
2135,1165357
2136,1165421
2137,1165477
2138,1165674
2139,1165728
2140,1165776
